iter	Passed	Remaining
450	1090	1327
451	1095	1328
452	1102	1331
453	1104	1328
454	1107	1326
455	1109	1323
456	1113	1322
457	1116	1321
458	1119	1319
459	1121	1316
460	1131	1322
461	1136	1323
462	1138	1320
463	1141	1318
464	1143	1315
465	1145	1312
466	1150	1313
467	1152	1310
468	1155	1307
469	1157	1305
470	1159	1302
471	1161	1299
472	1168	1301
473	1170	1299
474	1172	1296
475	1175	1294
476	1178	1291
477	1182	1291
478	1185	1288
479	1187	1286
480	1189	1283
481	1192	1281
482	1196	1281
483	1198	1278
484	1213	1288
485	1215	1285
486	1218	1283
487	1220	1280
488	1223	1278
489	1225	1275
490	1228	1273
491	1232	1272
492	1235	1270
493	1240	1270
494	1248	1273
495	1251	1271
496	1256	1271
497	1259	1269
498	1262	1267
499	1264	1264
500	1267	1262
501	1274	1264
502	1277	1262
503	1280	1259
504	1288	1263
505	1291	1260
506	1293	1257
507	1297	1256
508	1299	1253
509	1303	1252
510	1307	1251
511	1309	1248
512	1313	1247
513	1316	1244
514	1323	1246
515	1325	1243
516	1334	1246
517	1337	1244
518	1339	1241
519	1342	1239
520	1347	1238
521	1352	1238
522	1354	1235
523	1357	1232
524	1359	1229
525	1362	1227
526	1367	1227
527	1371	1226
528	1374	1223
529	1378	1222
530	1383	1221
531	1387	1220
532	1389	1217
533	1391	1214
534	1393	1211
535	1396	1209
536	1398	1205
537	1400	1202
538	1402	1199
539	1404	1196
540	1406	1193
541	1409	1190
542	1413	1189
543	1415	1186
544	1417	1183
545	1420	1180
546	1421	1177
547	1428	1178
548	1430	1175
549	1433	1172
550	1435	1169
551	1437	1167
552	1440	1164
553	1442	1161
554	1445	1158
555	1448	1156
556	1452	1155
557	1457	1154
558	1460	1152
559	1463	1150
560	1467	1148
561	1473	1148
562	1475	1145
563	1478	1143
564	1499	1154
565	1505	1154
566	1507	1151
567	1509	1148
568	1512	1145
569	1514	1142
570	1519	1141
571	1522	1138
572	1524	1136
573	1531	1136
574	1534	1134
575	1537	1131
576	1540	1129
577	1545	1128
578	1547	1125
579	1549	1121
580	1550	1118
581	1552	1115
582	1554	1111
583	1556	1108
584	1558	1105
585	1560	1102
586	1562	1099
587	1564	1096
588	1566	1093
589	1568	1089
590	1570	1086
591	1573	1084
592	1575	1081
593	1577	1077
594	1578	1074
595	1580	1071
596	1582	1068
597	1586	1066
598	1589	1064
599	1591	1060
600	1593	1057
601	1595	1054
602	1596	1051
603	1598	1048
604	1600	1044
605	1603	1042
606	1605	1039
607	1607	1036
608	1609	1033
609	1610	1029
610	1613	1026
611	1614	1023
612	1618	1021
613	1620	1018
614	1622	1015
615	1624	1012
616	1626	1009
617	1627	1006
618	1629	1003
619	1633	1001
620	1635	998
621	1637	994
622	1639	992
623	1641	989
624	1643	985
625	1644	982
626	1648	980
627	1650	977
628	1652	974
629	1654	971
630	1656	968
631	1658	965
632	1660	962
633	1663	960
634	1665	957
635	1666	953
636	1669	951
637	1671	948
638	1673	945
639	1675	942
640	1679	940
641	1680	937
642	1682	934
643	1685	931
644	1687	928
645	1688	925
646	1690	922
647	1694	920
648	1695	917
649	1697	913
650	1699	910
651	1700	907
652	1702	904
653	1704	901
654	1705	898
655	1709	896
656	1711	893
657	1713	890
658	1714	887
659	1716	884
660	1717	881
661	1719	877
662	1721	874
663	1724	872
664	1726	869
